title,final_price,old_price,discount,Desc
SAMSUNG SM-X906BZAJXSP 14.6IN GALAXY TAB S8 ULTRA 256GB 5G (W KEYBOARD),"S$1,688.00","S$2,209.00",(save 23%),"Operating System: Android 12
Screen Technology: Super Amoled
Processor Model: Octa Core 2.99ghz,2.4ghz,1.7ghz
Speaker(s): Yes
Dimensions (w X H X d): 208.6 X 326.4 X 5.5mm"
APPLE SMART KEYBOARD FOLIO FOR IPAD PRO 12.9-INCH IPAD PRO (5TH GEN) - US ENGLISH,S$249.00,S$301.70,(save 17%),
MICROSOFT 8XA-00075 SURFACE PRO SIGNATURE KEYBOARD PLATINUM,S$150.00,S$290.00,(save 48%),
ASUS TUF GAMING 4IN1 BUNDLE M3P1K1H3 K1 KEYBOARD + M3 MOUSE + H3 HEADSET + P1 MOUSEMAT,S$99.00,,,"Dimensions (w X H X d): 245mm X 170mm X 470mm
Others: Asus Tuf Gaming P1 Portable Gaming Mouse Pad With NanO-Coated, WateR-Resistant Surface
Key Features (2): Asus Tuf Gaming M3 Ergonomic Wired Rgb Gaming Mouse With 7000-Dpi Sensor
Key Features (3): Asus Tuf Gaming H3 Gaming Headset For Pc, Ps5, Xbox One And Nintendo Switch"
APPLE SMART KEYBOARD FOR IPAD (9TH GENERATION) - US ENGLISH,S$229.00,S$251.30,(save 8%),
APPLE SMART KEYBOARD FOLIO FOR IPAD PRO 11-INCH (3RD GEN) & IPAD AIR (5TH GEN) - US ENGLISH,S$259.00,S$281.60,(save 8%),
APPLE MAGIC KEYBOARD FOR IPAD PRO 11-INCH (3RD GEN) & IPAD AIR (5TH GEN) - WHITE - US ENGLISH,S$409.00,S$453.10,(save 9%),
APPLE MAGIC KEYBOARD FOR IPAD PRO 11-INCH (3RD GEN) & IPAD AIR (5TH GEN) - BLACK - US ENGLISH,S$419.00,S$453.10,(save 7%),
APPLE MAGIC KEYBOARD FOR IPAD PRO 12.9-INCH (4TH GEN) - BLACK - US ENGLISH,S$479.00,S$519.00,(save 7%),
APPLE MAGIC KEYBOARD FOR IPAD PRO 12.9-INCH (5TH GEN) - WHITE - US ENGLISH,S$485.00,S$533.90,(save 9%),
APPLE MAGIC KEYBOARD FOR IPAD PRO 12.9-INCH (5TH GEN) - BLACK - US ENGLISH,S$485.00,S$533.90,(save 9%),
MICROSOFT SURFACE PRO TYPECOVER (BLACK) FMM-00015 SURFACE TYPE COVER/KEYBOARD,S$200.00,,,
MICROSOFT NEW SURFACE PRO TYPECOVER FPR (BLACK) M1755 GK3-00015 SURFACE TYPE COVER/KEYBOARD,S$251.00,,,
