job_title,company,salary,location,date,job_desc
Cybersecurity Data Analyst – Data Analytics and Intel,Info-communications Media Development Authority,"Full-time
+2",Singapore,"Posted
Posted 30+ days ago","At least 1 year of experience in data transformation, interpretation, and quantitative data analysis.
You will be part of the cyber operations function of the…"
"Quality Engineer (Video Analytics), Data Science & Artificial Intelligence",GVT Government Technology Agency (GovTech),Full-time,Remote in Singapore,"Posted
Posted 30+ days ago","Develop and maintain records on all test suites, results and test data.
The ideal candidate requires great communication skills, attention to detail, quality…"
Data Scientist,SINGAPORE TELECOMMUNICATIONS LIMITED,"$5,500 - $11,000 a month",Singapore,"Posted
Posted 2 days ago","Communicate data insights and findings to wider audiences within Singtel.
Deep technical and data science expertise, demonstrating proficiency in:"
Data Scientist - New Start-up!,SCAYLER PTE. LTD.,"Full-time
+4",Singapore,"Posted
Posted 18 days ago",Create future NLP technology that is powering global software enterprises visibility into their B2B customer intent data and buying signals.
Data Scientist,SPH MEDIA LIMITED,"$6,000 - $12,000 a month",Singapore,"Posted
Posted 3 days ago","You are familiar with SQL and data stores such as data lakes and data warehouses.
Collaborate with our Data Engineering team to help shape cloud-based data…"
Data Scientist,HUBBLE PTE. LTD.,"$5,000 - $7,000 a month",Singapore,"Posted
Today","Able to assess the effectiveness and accuracy of data sources and data gathering techniques.
Experience in off premise data storage (cloud or local cloud)."
Data Scientist (Transportation),GATEWAY SEARCH PTE. LTD.,"$9,000 - $12,000 a month",Singapore,"Posted
Posted 30+ days ago","Experience applying data science in end-to-end production use cases: from data cleaning, feature engineering through to model training and inference."
Data Scientist,TANGSPAC CONSULTING PTE LTD,"$8,000 - $12,000 a month",Singapore,"Posted
Posted 15 days ago","Min 4 years of experienced working as data scientist.
Work with IT team to do data capture, ingestion, data processing, etc."
Data Scientist,SWIRE SHIPPING PTE. LTD.,"$5,500 - $11,000 a month",Singapore,"Posted
Posted 4 days ago","Minimum 10 year’s experience in data profiling, data exploration, and Analytics related functions, with a minimum of five years of experience in Data Analytics…"
Data Scientist,AMBITION GROUP SINGAPORE PTE. LTD.,"$10,000 - $19,000 a month",Singapore,"Posted
Posted 30+ days ago","Ability to apply statistical tests to large data sets.
Experience working with large data sets, including classification, regression, distribution analysis, and…"
Data Scientist,AMILI PTE. LTD.,"$5,000 - $7,000 a month",Singapore,"Posted
Posted 1 day ago","Assess the quality of data and remove or clean data.
Collecting structured and unstructured data.
Organising data into usable formats."
Data Scientist- ET,DYNAMIC HUMAN CAPITAL PTE. LTD.,"$8,000 - $10,000 a month",Singapore,"Posted
Posted 15 days ago",Perform statistical data analysis & visualization to find answers and new insights to important business questions.
Data Scientist,PSA CORPORATION LIMITED,"$5,000 - $10,000 a month",Singapore,"Posted
Posted 4 days ago","At least 5 years of experience as a data scientist or data analyst in developing data analytics models/solutions, preferably in a corporate business environment…"
Data Scientist - spkta,SCIENTEC CONSULTING PTE. LTD.,"$6,000 - $9,500 a month",Singapore,"Posted
Posted 3 days ago","Define desired state of information flow through the organization to determine organisation's data architecture.
Create deployment blueprints for AI/ML models."
Junior Machine Learning Intern,Cynapse,"$1,000 - $2,500 a month",Remote in Queenstown,"Employer
Active 14 days ago","Research public ML models and data sets.
The company is led by globally renowned experts who previously headed large groups at Microsoft and Intel."
