,title,year,certificate,time,genre,rating,metascore,simple_desc,votes
0,"1.
Guardians of the Galaxy Vol. 3
(2023)",(2023),PG13,150 min,"Action, Adventure, Comedy",8.3,64,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.","Votes:
123,203"
1,"2.
Dungeons & Dragons: Honor Among Thieves
(2023)",(2023),PG13,134 min,"Action, Adventure, Comedy",7.4,72,"A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.","Votes:
99,139"
2,"3.
The Super Mario Bros. Movie
(2023)",(2023),PG,92 min,"Animation, Adventure, Comedy",7.2,46,The story of The Super Mario Bros. on their journey through the Mushroom Kingdom.,"Votes:
111,060"
3,"10.
Guardians of the Galaxy
(2014)",(2014),PG13,121 min,"Action, Adventure, Comedy",8.0,76,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,"Votes:
1,212,863
| Gross:
$333.18M"
4,"11.
Peter Pan & Wendy
(2023)",(2023),PG,106 min,"Action, Adventure, Comedy",4.1,61,"Follow the adventures of Peter Pan, a boy who does not want to grow up, and how he recruits three siblings in London, and together they embark on a magical adventure on the enchanted island of Neverland.","Votes:
20,047"
5,"12.
Ghosted
(I) (2023)",(I) (2023),NC16,116 min,"Action, Adventure, Comedy",5.8,34,"Cole falls head over heels for enigmatic Sadie, but then makes the shocking discovery that she's a secret agent. Before they can decide on a second date, Cole and Sadie are swept away on an international adventure to save the world.","Votes:
37,357"
6,"14.
Guardians of the Galaxy Vol. 2
(2017)",(2017),PG13,136 min,"Action, Adventure, Comedy",7.6,67,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father, the ambitious celestial being Ego.","Votes:
710,520
| Gross:
$389.81M"
7,"15.
Fast X
(2023)",(2023),PG13,141 min,"Action, Adventure, Crime",6.4,55,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.,"Votes:
12,746"
8,"19.
Ant-Man and the Wasp: Quantumania
(2023)",(2023),PG,124 min,"Action, Adventure, Comedy",6.2,48,"Scott Lang and Hope Van Dyne are dragged into the Quantum Realm, along with Hope's parents and Scott's daughter Cassie. Together they must find a way to escape, but what secrets is Hope's mother hiding? And who is the mysterious Kang?","Votes:
145,150"
9,"21.
Dune: Part One
(2021)",(2021),PG13,155 min,"Action, Adventure, Drama",8.0,74,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,"Votes:
674,432
| Gross:
$108.33M"
10,"22.
Avatar: The Way of Water
(2022)",(2022),PG13,192 min,"Action, Adventure, Fantasy",7.7,67,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.","Votes:
380,345
| Gross:
$659.68M"
11,"29.
Knights of the Zodiac
(2023)",(2023),PG13,112 min,"Action, Adventure, Drama",4.6,34,"When a goddess of war reincarnates in the body of a young girl, street orphan Seiya discovers that he is destined to protect her and save the world. But only if he can face his own past and become a Knight of the Zodiac.","Votes:
2,568"
12,"31.
Everything Everywhere All at Once
(2022)",(2022),M18,139 min,"Action, Adventure, Comedy",7.8,81,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,"Votes:
444,734
| Gross:
$72.86M"
13,"38.
Crater
(2023)",(2023),PG,105 min,"Adventure, Drama, Family",5.0,65,"After the death of his father, a boy growing up on a lunar mining colony takes a trip to explore a legendary crater, along with his four best friends, prior to permanently leaving the Moon and relocated to another planet.","Votes:
1,887"
14,"40.
Shazam! Fury of the Gods
(2023)",(2023),PG13,130 min,"Action, Adventure, Comedy",6.0,47,"The film continues the story of teenage Billy Batson who, upon reciting the magic word ""SHAZAM!"" is transformed into his adult Super Hero alter ego, Shazam.","Votes:
68,412"
15,"43.
The Suicide Squad
(2021)",(2021),M18,132 min,"Action, Adventure, Comedy",7.2,72,"Supervillains Harley Quinn, Bloodsport, Peacemaker, and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.","Votes:
371,263
| Gross:
$55.82M"
16,"49.
Interstellar
(2014)",(2014),PG13,169 min,"Adventure, Drama, Sci-Fi",8.7,74,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.","Votes:
1,905,504
| Gross:
$188.02M"
17,"50.
65
(2023)",(2023),PG13,93 min,"Action, Adventure, Drama",5.4,40,An astronaut crash lands on a mysterious planet only to discover he's not alone.,"Votes:
42,880"
0,"1.
The Super Mario Bros. Movie
(2023)",(2023),PG,92 min,"Animation, Adventure, Comedy",7.2,46,The story of The Super Mario Bros. on their journey through the Mushroom Kingdom.,"Votes:
111,060"
1,"13.
Puss in Boots: The Last Wish
(2022)",(2022),PG,102 min,"Animation, Adventure, Comedy",7.9,73,"When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish.","Votes:
127,868
| Gross:
$168.46M"
2,"14.
Suzume no Tojimari
(2022)",(2022),PG,122 min,"Animation, Action, Adventure",7.8,77,A modern action adventure road story where a 17-year-old girl named Suzume helps a mysterious young man close doors from the other side that are releasing disasters all over in Japan.,"Votes:
16,497"
3,"16.
Spider-Man: Into the Spider-Verse
(2018)",(2018),PG,117 min,"Animation, Action, Adventure",8.4,87,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","Votes:
561,759
| Gross:
$190.24M"
4,"29.
Tangled
(2010)",(2010),PG,100 min,"Animation, Adventure, Comedy",7.7,71,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.","Votes:
468,351
| Gross:
$200.82M"
5,"30.
Sing 2
(2021)",(2021),PG,110 min,"Animation, Adventure, Comedy",7.4,49,Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.,"Votes:
75,010
| Gross:
$162.79M"
6,"33.
The Little Mermaid
(1989)",(1989),G,83 min,"Animation, Adventure, Family",7.6,88,A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.,"Votes:
272,548
| Gross:
$111.54M"
7,"35.
The Lion King
(1994)",(1994),G,88 min,"Animation, Adventure, Drama",8.5,88,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","Votes:
1,083,460
| Gross:
$422.78M"
8,"38.
Sen to Chihiro no kamikakushi
(2001)",(2001),PG,125 min,"Animation, Adventure, Family",8.6,96,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts.","Votes:
788,165
| Gross:
$10.06M"
9,"39.
Moana
(I) (2016)",(I) (2016),PG,107 min,"Animation, Adventure, Comedy",7.6,81,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.","Votes:
350,759
| Gross:
$248.76M"
10,"41.
Kimi no na wa.
(2016)",(2016),PG,106 min,"Animation, Drama, Fantasy",8.4,79,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.","Votes:
285,644
| Gross:
$5.02M"
11,"42.
Encanto
(2021)",(2021),PG,102 min,"Animation, Comedy, Family",7.2,75,A Colombian teenage girl has to face the frustration of being the only member of her family without magical powers.,"Votes:
235,945
| Gross:
$96.09M"
12,"44.
Cars
(2006)",(2006),G,117 min,"Animation, Adventure, Comedy",7.2,73,"On the way to the biggest race of his life, a hotshot rookie race car gets stranded in a rundown town, and learns that winning isn't everything in life.","Votes:
438,126
| Gross:
$244.08M"
13,"48.
The Lion King
(2019)",(2019),PG,118 min,"Animation, Adventure, Drama",6.8,55,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.","Votes:
253,400
| Gross:
$543.64M"
14,"49.
Ratatouille
(2007)",(2007),G,111 min,"Animation, Adventure, Comedy",8.1,96,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,"Votes:
764,593
| Gross:
$206.45M"
0,"7.
BlackBerry
(2023)",(2023),R,120 min,"Biography, Comedy, Drama",7.9,80,The story of the meteoric rise and catastrophic demise of the world's first smartphone.,"Votes:
1,811"
1,"10.
Flamin' Hot
(2023)",(2023),PG-13,99 min,"Biography, Drama, History",7.8,68,This is the inspiring true story of Richard Montañez who as a Frito Lay janitor disrupted the food industry by channeling his Mexican heritage to turn Flamin' Hot Cheetos from a snack into an iconic global pop culture phenomenon.,"Votes:
90"
2,"13.
Tetris
(2023)",(2023),M18,118 min,"Biography, Drama, History",7.4,61,"The story of how one of the world's most popular video games found its way to players around the globe. Businessman Henk Rogers and Tetris inventor Alexey Pajitnov join forces in the USSR, risking it all to bring Tetris to the masses.","Votes:
46,795"
3,"14.
Above Suspicion
(2019)",(2019),R,104 min,"Action, Biography, Crime",5.7,46,The true-crime story leading to the first-ever conviction of an F.B.I. Agent for murder.,"Votes:
7,375"
4,"17.
The Glass Castle
(2017)",(2017),PG,127 min,"Biography, Drama",7.1,56,A young girl comes of age in a dysfunctional family of nonconformist nomads with a mother who's an eccentric artist and an alcoholic father who would stir the children's imagination with hope as a distraction to their poverty.,"Votes:
35,932
| Gross:
$17.27M"
5,"18.
Still
(2023)",(2023),PG13,95 min,"Documentary, Biography",8.3,78,"Follows the life of beloved actor and advocate Michael J. Fox, exploring his personal and professional triumphs and travails, and what happens when an incurable optimist confronts an incurable disease.","Votes:
4,032"
6,"19.
The Wolf of Wall Street
(2013)",(2013),R,180 min,"Biography, Comedy, Crime",8.2,75,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","Votes:
1,459,930
| Gross:
$116.90M"
7,"20.
GoodFellas
(1990)",(1990),M18,145 min,"Biography, Crime, Drama",8.7,92,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.","Votes:
1,189,652
| Gross:
$46.84M"
8,"21.
Tombstone
(1993)",(1993),PG,130 min,"Biography, Drama, History",7.8,50,"A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating.","Votes:
155,628
| Gross:
$56.51M"
9,"23.
Schindler's List
(1993)",(1993),R(A),195 min,"Biography, Drama, History",9.0,95,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Votes:
1,383,316
| Gross:
$96.90M"
10,"24.
American Gangster
(2007)",(2007),M18,157 min,"Biography, Crime, Drama",7.8,76,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.","Votes:
436,135
| Gross:
$130.16M"
11,"25.
Whitney Houston: I Wanna Dance with Somebody
(2022)",(2022),M18,144 min,"Biography, Drama, Music",6.6,51,"A joyous, emotional, heartbreaking celebration of the life and music of Whitney Houston, one of the greatest female R&B pop vocalists of all time, tracking her journey from obscurity to musical super stardom.","Votes:
16,003"
12,"28.
Hacksaw Ridge
(2016)",(2016),M18,139 min,"Biography, Drama, History",8.1,71,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.","Votes:
548,368
| Gross:
$67.21M"
13,"29.
Elvis
(2022)",(2022),PG13,159 min,"Biography, Drama, Music",7.3,64,"The life of American music icon Elvis Presley, from his childhood to becoming a rock and movie star in the 1950s while maintaining a complex relationship with his manager, Colonel Tom Parker.","Votes:
207,642
| Gross:
$151.04M"
14,"30.
Blonde
(2022)",(2022),R21,167 min,"Biography, Drama, Romance",5.5,50,"The story of American actress Marilyn Monroe, covering her love and professional lives.","Votes:
65,847"
15,"31.
Ford v Ferrari
(2019)",(2019),PG13,152 min,"Action, Biography, Drama",8.1,81,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,"Votes:
417,005
| Gross:
$117.62M"
16,"33.
The Greatest Showman
(2017)",(2017),PG,105 min,"Biography, Drama, Musical",7.5,48,Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.,"Votes:
292,383
| Gross:
$174.34M"
17,"34.
The Young Victoria
(2009)",(2009),PG,105 min,"Biography, Drama, History",7.2,64,"A dramatization of the turbulent first years of Queen Victoria's rule, and her enduring romance with Prince Albert.","Votes:
63,939
| Gross:
$11.00M"
